episode,step,reward,length,loss
1,2372,-21.00,3472.00,0.166456
2,3469,-21.00,1097.00,-0.839637
3,4644,-21.00,1175.00,-1.954336
4,5903,-21.00,1259.00,-3.176413
5,7086,-21.00,1183.00,-3.330351
6,8105,-21.00,1019.00,-1.825379
7,9118,-21.00,1013.00,-2.505085
8,10218,-21.00,1100.00,-5.550614
9,11313,-21.00,1095.00,-1.680622
10,12323,-21.00,1010.00,-3.775446
11,13425,-21.00,1102.00,-2.991785
12,14445,-21.00,1020.00,-4.881807
13,15535,-21.00,1090.00,-7.849084
14,16630,-21.00,1095.00,-3.479280
15,17849,-20.00,1219.00,-5.179965
16,18949,-21.00,1100.00,-10.294710
17,20051,-21.00,1102.00,-11.628919
18,21155,-21.00,1104.00,-7.051840
19,22324,-21.00,1169.00,-6.431516
20,23420,-21.00,1096.00,-11.781664
21,24631,-20.00,1211.00,-7.737152
22,25812,-21.00,1181.00,-10.903714
episode,step,reward,length,loss
1,2311,-21.00,3514.00,0.000034
2,3408,-21.00,1097.00,0.000009
3,4504,-21.00,1096.00,0.000006
4,5767,-21.00,1263.00,-0.000001
5,7445,-21.00,1678.00,0.000007
6,8552,-21.00,1107.00,-0.000014
7,9892,-21.00,1340.00,0.000018
8,11239,-21.00,1347.00,0.000010
9,12344,-21.00,1105.00,0.000010
10,13521,-21.00,1177.00,0.000005
11,14692,-21.00,1171.00,-0.000017
12,15875,-21.00,1183.00,0.000020
13,16986,-21.00,1111.00,-0.000014
14,18097,-21.00,1111.00,0.000001
15,19183,-21.00,1086.00,0.000011
16,20359,-21.00,1176.00,0.000018
17,21532,-21.00,1173.00,0.000016
18,22645,-21.00,1113.00,0.000045
19,23731,-21.00,1086.00,-0.000024
20,24927,-21.00,1196.00,0.000007
21,26117,-21.00,1190.00,-0.000022
22,27391,-21.00,1274.00,0.000004
23,28501,-21.00,1110.00,0.000027
24,29697,-21.00,1196.00,-0.000033
25,30729,-21.00,1032.00,0.000005
26,31829,-21.00,1100.00,-0.000007
episode,step,reward,length,loss
1,2940,-20.00,4117.00,0.019780
2,4318,-20.00,1378.00,-0.707000
3,5414,-21.00,1096.00,-1.668745
4,6525,-21.00,1111.00,-2.717220
5,7868,-21.00,1343.00,-0.945108
6,9053,-21.00,1185.00,-2.614651
7,10066,-21.00,1013.00,-3.249282
episode,step,reward,length,loss
1,2419,-20.50,3649.00,-0.194958
2,3633,-20.00,1214.00,-0.886960
episode,step,reward,length,loss
1,2365,-21.00,3635.00,-0.002858
2,3534,-21.00,1169.00,0.160225
3,4635,-21.00,1101.00,-0.109606
4,5817,-21.00,1182.00,-0.408127
5,6926,-21.00,1109.00,-0.842668
6,8013,-21.00,1087.00,-1.201295
7,9332,-20.00,1319.00,-0.093288
8,10436,-21.00,1104.00,-1.910243
9,11848,-21.00,1412.00,-0.851001
10,13062,-20.00,1214.00,-1.738099
11,14172,-21.00,1110.00,-0.884858
episode,step,reward,length,loss
1,2596,-20.00,3949.00,0.064614
